"subject_number","FIRMM","meanFD","medianFD","SDFD"
"PL00040",0,0.372573588832487,0.3446905,0.195213461477927
"PL00083",1,0.802181015122873,0.819549,0.432837905977086
"PL00348",0,0.22526719412516,0.195067,0.135844038653143
"PL00539",0,0.404843358662614,0.2457585,0.562304687011508
"PL00547",1,0.247176577070064,0.196925,0.232012483987897
"PL00759",1,0.288091938618926,0.233524,0.189643851893328
"PL00790",1,0.123186533501896,0.108349,0.0651693805832046
"PL00933",1,0.280169432704403,0.228468,0.194834609692934
"PL01023",1,0.221178549044586,0.176123,0.14911044369214
"PL01113",1,0.309428745198464,0.256614,0.230121375063187
"sub-01",1,0.326536333748443,0.294029,0.188650119672357
"sub-02",1,0.340611650955414,0.324423,0.159485466230598
"sub-03",1,0.32109091403287,0.273831,0.202552212683277
"sub-04",1,0.361854829949239,0.3005505,0.249265953932577
"sub-05",1,0.414555490613267,0.340101,0.283790189566849
"sub-06",0,0.649396881074169,0.607329,0.40084153585144
"sub-07",1,0.550899012787724,0.490662,0.286012255436783
"sub-08",0,0.338041030495553,0.235761,0.457218927911327
"sub-09",1,0.306035626903553,0.280191,0.140123574409388
"sub-10",0,0.294030331193838,0.242237,0.211913152986796
"sub-11",1,0.252240346863469,0.230402,0.136915797055157
"sub-12",1,0.165416350374065,0.1477005,0.0848560734710664
"sub-13",0,0.452178264778325,0.389981,0.268803342573714
"sub-14",1,0.229172929382093,0.191986,0.152202053727591
"sub-15",0,0.422691697994987,0.369668,0.304756487742356
"sub-16",0,0.246782767990074,0.1906045,0.214833861064869
"sub-17",1,0.291276883211679,0.2268905,0.203197825545082
"sub-18",0,0.412191111668758,0.235846,0.609064119560409
"sub-19",1,0.227636965428937,0.199245,0.13692094839079
"sub-20",0,0.375035628434887,0.338601,0.198195836468194
"sub-22",1,0.2179823,0.182626,0.1450416029518
"sub-23",1,0.217803705144291,0.192779,0.132903480501534
"sub-24",0,0.215654744654088,0.165437,0.243362158982831
"sub-25",0,0.247088869346734,0.2100885,0.175613035816908
"sub-26",0,0.681341016169154,0.4741445,0.638500919557267
"sub-27",1,0.197696421568627,0.1516945,0.160000648574548
"sub-28",1,0.229970819899244,0.1884015,0.228726859569788
"sub-29",1,0.396509917602996,0.343297,0.31029444115508
"sub-31",1,0.29174497799511,0.2626135,0.179510584380568
"sub-32",1,0.447095138107417,0.4048955,0.241391315272691
"sub-33",1,0.246373974296206,0.222243,0.137526766479598
"sub-34",1,0.571090887218045,0.5010175,0.341918149317215
"sub-35",1,0.144793504623514,0.129848,0.0817136647680447
"sub-36",0,0.190837171568627,0.165278,0.116848968079312
"sub-37",0,0.168111362720403,0.1332875,0.150002205350074
"sub-38",1,0.175857428571429,0.1476475,0.11649233408974
"sub-39",1,0.210968432873275,0.187212,0.116729131901712
"sub-40",0,0.299826579821201,0.263311,0.165817364650341
"sub-41",1,0.319081952926209,0.3128175,0.135164598910659
"sub-42",1,0.266860478873239,0.229339,0.152686868447767
"sub-43",0,0.251478404092072,0.2235475,0.150262911734985
"sub-44",1,0.230613046332046,0.195993,0.14974162681176
"sub-45",1,0.262092375796178,0.251568,0.105217477891858
"sub-46",1,0.197713130653266,0.1714325,0.124742846955332
"sub-47",1,0.486348121134021,0.454142,0.288661394803041
"sub-48",1,0.368267610619469,0.315772,0.225259008030104
"sub-49",1,0.147123725641026,0.10871,0.117814524859984
"sub-50",1,0.404372490372272,0.344282,0.252310884404212
"sub-52",1,0.244545098717949,0.218106,0.137492719819786
"sub-53",1,0.262918939240506,0.2248905,0.173382708500559
"sub-54",0,0.344965220382166,0.265421,0.2814319967534
"sub-55",1,0.191632128498728,0.164999,0.113915605715855
"sub-56",1,0.226987603053435,0.2129265,0.098290160282318
"sub-57",1,0.448499458172458,0.365244,0.30240525629655
"sub-58",1,0.312846335887612,0.256301,0.216806290233893
"sub-59",1,0.1963345,0.1664555,0.119507305446493
"sub-60",1,0.317228952503209,0.267765,0.196021280099581
"sub-61",1,0.31396880964467,0.259875,0.219450605125674
"sub-62",1,0.275101897304236,0.246255,0.149874697444925
"sub-63",1,0.347669985879332,0.33891,0.146859589415543
"sub-64",0,0.236961611392405,0.2230225,0.12555241691158
"sub-65",1,0.2297491875,0.195881,0.197864974632871
"sub-66",1,0.148847993710692,0.132922,0.0738254256134959
"sub-67",1,0.20141547503201,0.178334,0.114937432387603
"sub-69",1,0.196746213282248,0.152188,0.150631729466965
"sub-70",1,0.220886024509804,0.1974835,0.118851439261591
"sub-71",1,0.268289752808989,0.230014,0.188060011359656
"sub-72",1,0.330629803030303,0.220793,0.369062817795312
"sub-73",1,0.304250599489796,0.264915,0.196282187760274
"sub-74",0,0.280949292993631,0.243719,0.171496737388489
"sub-75",0,0.272357414448669,0.249937,0.132634805721226
