SID,SESSID,mean_tSNR,median_tSNR
PL00008,SESS01,38.594767,39.095156
PL00008,SESS02,38.751194,39.020927
PL00008,SESS03,41.564808,42.094893
PL00008,SESS04,40.601705,40.983959
PL00008,SESS05,39.619482,40.077161
PL00008,SESS06,41.724529,42.395907
PL00032,SESS01,38.946633,38.105102
PL00032,SESS02,44.766818,44.845702
PL00032,SESS03,43.590721,43.044502
PL00032,SESS04,45.082205,44.887880
PL00032,SESS05,44.929473,45.104963
PL00032,SESS06,41.265849,41.120829
PL00035,SESS01,37.129202,36.961672
PL00035,SESS02,40.415906,39.914483
PL00035,SESS03,39.049949,38.536874
PL00035,SESS04,37.943551,37.590640
PL00035,SESS05,39.785366,39.946020
PL00035,SESS06,39.756671,39.517428
PL00045,SESS01,34.378575,33.531285
PL00045,SESS02,36.181359,35.288428
PL00045,SESS03,35.204074,34.599494
PL00045,SESS04,34.029212,33.263418
PL00045,SESS05,40.305225,39.647731
PL00045,SESS06,41.562635,40.968951
PL00047,SESS01,49.127676,48.197235
PL00047,SESS02,45.117973,44.266722
PL00047,SESS03,44.059949,43.576400
PL00047,SESS04,40.222915,39.671508
PL00047,SESS05,35.069364,34.752786
PL00047,SESS06,37.319750,37.133668
PL00055,SESS01,26.379889,25.887582
PL00055,SESS02,32.289920,32.055604
PL00055,SESS03,36.219153,35.560601
PL00055,SESS04,33.665879,33.253045
PL00055,SESS05,30.733272,30.400730
PL00055,SESS06,35.200373,34.709464
PL00056,SESS01,34.844947,34.544611
PL00056,SESS02,35.530403,35.274335
PL00056,SESS03,33.973770,33.784475
PL00056,SESS04,30.479463,30.418605
PL00056,SESS05,30.384512,30.310903
PL00056,SESS06,29.124512,28.993268
PL00061,SESS01,39.623921,39.895991
PL00061,SESS02,37.700368,38.077103
PL00061,SESS03,31.638912,31.825825
PL00061,SESS04,36.663513,37.125680
PL00061,SESS05,28.343823,28.484365
PL00061,SESS06,38.074552,38.354463
PL00064,SESS01,40.510474,40.465326
PL00064,SESS02,41.825130,41.825430
PL00064,SESS03,42.214230,42.114282
PL00064,SESS04,41.150151,41.184329
PL00064,SESS05,41.173115,40.940921
PL00064,SESS06,39.900375,39.846460
PL00071,SESS01,45.530647,44.194705
PL00071,SESS02,46.989598,46.657258
PL00071,SESS03,45.565677,44.551960
PL00071,SESS04,40.186853,38.337231
PL00071,SESS05,39.195726,37.202469
PL00071,SESS06,38.341117,35.916572
PL00087,SESS01,44.222806,43.270957
PL00087,SESS02,47.469359,46.578187
PL00087,SESS03,48.226336,47.306598
PL00087,SESS04,50.612639,49.571626
PL00087,SESS05,47.732659,46.957018
PL00087,SESS06,47.878827,47.007843
PL00114,SESS01,45.530043,45.565397
PL00114,SESS02,48.605063,48.174050
PL00114,SESS03,48.917840,48.657677
PL00114,SESS04,48.528756,48.229359
PL00114,SESS05,48.400928,48.010469
PL00114,SESS06,47.856719,48.005081
PL00152,SESS01,37.915394,38.181865
PL00152,SESS02,37.885656,38.331340
PL00152,SESS03,33.947318,34.172152
PL00152,SESS04,36.431045,36.898871
PL00152,SESS05,35.789286,36.267616
PL00152,SESS06,34.263249,34.721387
PL00161,SESS01,35.978524,35.942942
PL00161,SESS02,46.202361,46.509154
PL00161,SESS03,47.345410,47.755661
PL00161,SESS04,46.095807,46.743659
PL00161,SESS05,48.853646,49.791622
PL00161,SESS06,47.112212,47.904907
PL00223,SESS01,39.589407,39.104581
PL00223,SESS02,43.575464,43.134207
PL00223,SESS03,42.146453,41.580449
PL00223,SESS04,28.342176,27.745057
PL00223,SESS05,31.317070,29.750466
PL00223,SESS06,40.511801,40.458318
PL00276,SESS01,45.316582,44.823670
PL00276,SESS02,45.572075,45.638815
PL00276,SESS03,40.083061,40.141669
PL00276,SESS04,47.119502,46.932032
PL00276,SESS05,47.362505,47.695537
PL00276,SESS06,48.535943,48.788160
PL00306,SESS01,43.042055,41.744572
PL00306,SESS02,39.214015,38.482166
PL00306,SESS03,38.435047,37.531959
PL00306,SESS04,42.925294,41.977004
PL00306,SESS05,44.718354,44.441495
PL00306,SESS06,46.910586,46.079430
PL00431,SESS01,25.904131,25.295186
PL00431,SESS02,21.879416,20.766799
PL00431,SESS03,32.111640,31.132731
PL00431,SESS04,41.236172,40.587657
PL00431,SESS05,42.228152,42.128039
PL00431,SESS06,38.568097,38.673071
PL00452,SESS01,40.335524,39.703573
PL00452,SESS02,50.162846,50.254429
PL00452,SESS03,48.136628,48.136652
PL00452,SESS04,44.682092,44.556072
PL00452,SESS05,43.489288,43.687458
PL00452,SESS06,44.960487,44.909718
PL00533,SESS01,36.362865,36.296976
PL00533,SESS02,34.079263,34.288194
PL00533,SESS03,33.939135,34.141525
PL00533,SESS04,34.741950,34.896947
PL00533,SESS05,33.264399,33.378523
PL00533,SESS06,31.547718,31.621076
